threshold,accuracy,balanced_accuracy
0.5,0.8972616041949893,0.8865295983685327
0.6,0.9013400660322393,0.8914699824000547
0.7,0.9063895902116916,0.8974624012753304
0.8,0.9096912021751796,0.9014848370793714
0.9,0.9133812390755487,0.9062822197619963
0.95,0.915129151291513,0.9088024066073577
0.99,0.9192076131287629,0.9147189262360963
0.995,0.9197902505340843,0.9161712856496153
0.999,0.9120217517964654,0.9094431439173
0.9995,0.9104680520489415,0.908422462965515
0.9999,0.8960963293843465,0.895009575378415
0.99995,0.884055156341037,0.8835032558122037
0.99999,0.8469605748689066,0.8474876006532672
0.999999,0.7418916294426102,0.7442414468794915
0.9999999,0.5981744027966596,0.6024826767035537
